Date,Open,High,Low,Close,Adj Close,Volume
"Oct 01, 2020",5866.1,5925.8,5849.8,5879.5,5879.5,729252500
"Sep 30, 2020",5897.5,5931.4,5854.5,5866.1,5866.1,831982500
"Sep 29, 2020",5927.9,5927.9,5862.9,5897.5,5897.5,677894800
"Sep 28, 2020",5842.7,5954.4,5842.7,5927.9,5927.9,915339300
"Sep 25, 2020",5822.8,5843.7,5771.5,5842.7,5842.7,742745800
"Sep 24, 2020",5899.3,5899.3,5805.3,5822.8,5822.8,707125700
"Sep 23, 2020",5829.5,5974.9,5829.5,5899.3,5899.3,745841800
"Sep 22, 2020",5804.3,5871.3,5794.5,5829.5,5829.5,793986600
"Sep 21, 2020",6007.1,6007.1,5779.2,5804.3,5804.3,989724600
"Sep 18, 2020",6049.9,6055.2,6006.3,6007.1,6007.1,1606438900
"Sep 17, 2020",6078.5,6078.5,5998.7,6049.9,6049.9,614989900
"Sep 16, 2020",6105.5,6119.2,6057.6,6078.5,6078.5,712218600
"Sep 15, 2020",6026.3,6123.7,6026.2,6105.5,6105.5,696475100
"Sep 14, 2020",6032.1,6080,6011.8,6026.3,6026.3,599027600
"Sep 11, 2020",6003.3,6057.7,5992.9,6032.1,6032.1,532206600
"Sep 10, 2020",6012.8,6028.8,5950.6,6003.3,6003.3,602947200
"Sep 09, 2020",5930.3,6031.3,5923.4,6012.8,6012.8,670411100
"Sep 08, 2020",5937.4,5985.3,5868.9,5930.3,5930.3,741088100
"Sep 07, 2020",5799.1,5946.9,5798.5,5937.4,5937.4,542562600
"Sep 04, 2020",5850.9,5904.2,5778.4,5799.1,5799.1,672211400
"Sep 03, 2020",5941,5996.2,5838,5850.9,5850.9,698951400
"Sep 02, 2020",5862.1,5974.7,5862.1,5941,5941,670603500
"Sep 01, 2020",5963.6,5972.5,5824,5862.1,5862.1,1041226100
"Aug 28, 2020",6000,6033,5962.5,5963.6,5963.6,928308900
"Aug 27, 2020",6045.6,6062.5,6000,6000,6000,496427000
"Aug 26, 2020",6037,6050.8,5992.2,6045.6,6045.6,405657200
"Aug 25, 2020",6104.7,6173.5,6032.1,6037,6037,538992400
"Aug 24, 2020",6001.9,6119.8,6001.9,6104.7,6104.7,452722200
"Aug 21, 2020",6013.3,6036.5,5948.8,6001.9,6001.9,545211700
"Aug 20, 2020",6112,6112,6009.6,6013.3,6013.3,505170900
"Aug 19, 2020",6076.6,6114.8,6045,6112,6112,425040900
"Aug 18, 2020",6127.4,6162.7,6062.6,6076.6,6076.6,502242600
"Aug 17, 2020",6090,6140.2,6061.5,6127.4,6127.4,500314600
"Aug 14, 2020",6185.6,6185.6,6036.1,6090,6090,513442300
"Aug 13, 2020",6280.1,6280.1,6185.6,6185.6,6185.6,515765800
"Aug 12, 2020",6154.3,6297.2,6151.6,6280.1,6280.1,680848000
"Aug 11, 2020",6050.6,6206,6050.6,6154.3,6154.3,758790700
"Aug 10, 2020",6032.2,6099.5,6028.5,6050.6,6050.6,558064500
"Aug 07, 2020",6026.9,6046,5996.7,6032.2,6032.2,540972400
"Aug 06, 2020",6104.7,6104.7,5980.4,6026.9,6026.9,629266500
"Aug 05, 2020",6036,6111.5,6036,6104.7,6104.7,715558400
"Aug 04, 2020",6032.9,6056.5,5986.8,6036,6036,766666900
"Aug 03, 2020",5897.8,6038.8,5857.1,6032.9,6032.9,948540800
"Jul 31, 2020",5990,6046.3,5897.8,5897.8,5897.8,1007598800
"Jul 30, 2020",6131.5,6145.8,5924.7,5990,5990,1229813400
"Jul 29, 2020",6129.3,6155.1,6116.7,6131.5,6131.5,718093000
"Jul 28, 2020",6104.9,6149.9,6083.7,6129.3,6129.3,612575200
"Jul 27, 2020",6123.8,6127.6,6086.6,6104.9,6104.9,704383900
"Jul 24, 2020",6211.4,6211.4,6099.1,6123.8,6123.8,679819200
